pais;ano;pib;expecVida;populacao;continente
Argentina;1920;6100;49,9;8830000;Americas
Argentina;1921;6100;50,3;9080000;Americas
Argentina;1922;6390;50,8;9350000;Americas
Argentina;1923;6850;51,3;9630000;Americas
Argentina;1924;7120;51,7;9910000;Americas
Argentina;1925;6890;52,2;10200000;Americas
Argentina;1926;7020;52,5;10500000;Americas
Argentina;1927;7300;52,9;10800000;Americas
Argentina;1928;7540;53,2;11200000;Americas
Argentina;1929;7670;53,5;11500000;Americas
Argentina;1930;7170;53,9;11700000;Americas
Argentina;1931;6520;53,9;12000000;Americas
Argentina;1932;6190;53,9;12200000;Americas
Argentina;1933;6360;53,8;12500000;Americas
Argentina;1934;6750;53,8;12700000;Americas
Argentina;1935;6940;53,8;12900000;Americas
Argentina;1936;6870;54,8;13100000;Americas
Argentina;1937;7250;55,7;13400000;Americas
Argentina;1938;7150;56,7;13600000;Americas
Argentina;1939;7290;57,6;13800000;Americas
Argentina;1940;7310;58,5;14100000;Americas
Argentina;1941;7560;59,1;14400000;Americas
Argentina;1942;7530;59,7;14600000;Americas
Argentina;1943;7350;60,3;14900000;Americas
Argentina;1944;8040;60,8;15200000;Americas
Argentina;1945;7650;61,4;15500000;Americas
Argentina;1946;8200;61,3;15800000;Americas
Argentina;1947;8940;61,1;16100000;Americas
Argentina;1948;9230;61;16400000;Americas
Argentina;1949;8870;60,9;16700000;Americas
Argentina;1950;8760;60,8;17000000;Americas
Argentina;1951;8910;61,1;17400000;Americas
Argentina;1952;8290;61,6;17700000;Americas
Argentina;1953;8560;62,2;18100000;Americas
Argentina;1954;8750;62,6;18400000;Americas
Argentina;1955;9200;63;18800000;Americas
Argentina;1956;9280;63,4;19100000;Americas
Argentina;1957;9590;63,7;19500000;Americas
Argentina;1958;10000;63,9;19800000;Americas
Argentina;1959;9210;64,1;20100000;Americas
Argentina;1960;9770;64,2;20500000;Americas
Argentina;1961;10300;64,3;20800000;Americas
Argentina;1962;9980;64,4;21200000;Americas
Argentina;1963;9590;64,5;21500000;Americas
Argentina;1964;10400;64,6;21800000;Americas
Argentina;1965;11200;64,7;22200000;Americas
Argentina;1966;11100;64,8;22500000;Americas
Argentina;1967;11300;64,9;22800000;Americas
Argentina;1968;11600;65,1;23200000;Americas
Argentina;1969;12400;65,3;23500000;Americas
Argentina;1970;12900;65,6;23900000;Americas
Argentina;1971;13300;65,8;24300000;Americas
Argentina;1972;13400;66,2;24700000;Americas
Argentina;1973;14000;66,6;25100000;Americas
Argentina;1974;14700;67;25500000;Americas
Argentina;1975;14300;67,5;25900000;Americas
Argentina;1976;14000;68;26300000;Americas
Argentina;1977;14600;68,4;26700000;Americas
Argentina;1978;13800;69;27100000;Americas
Argentina;1979;14500;69,6;27500000;Americas
Argentina;1980;14500;70,1;27900000;Americas
Argentina;1981;13400;70,4;28300000;Americas
Argentina;1982;12800;70,8;28800000;Americas
Argentina;1983;13000;70,8;29300000;Americas
Argentina;1984;13100;71,2;29700000;Americas
Argentina;1985;12100;71,5;30200000;Americas
Argentina;1986;12800;71,8;30700000;Americas
Argentina;1987;12900;72;31200000;Americas
Argentina;1988;12500;72,1;31700000;Americas
Argentina;1989;11500;72,3;32100000;Americas
Argentina;1990;11400;72,4;32600000;Americas
Argentina;1991;12200;72,6;33100000;Americas
Argentina;1992;13000;72,6;33500000;Americas
Argentina;1993;13900;72,9;34000000;Americas
Argentina;1994;14500;73,3;34400000;Americas
Argentina;1995;14000;73,3;34800000;Americas
Argentina;1996;14600;73,3;35200000;Americas
Argentina;1997;15600;73,5;35700000;Americas
Argentina;1998;16000;73,5;36100000;Americas
Argentina;1999;15300;73,6;36500000;Americas
Argentina;2000;15000;74,2;36900000;Americas
Argentina;2001;14200;74,3;37300000;Americas
Argentina;2002;12500;74,2;37700000;Americas
Argentina;2003;13400;74,3;38100000;Americas
Argentina;2004;14500;74,9;38500000;Americas
Argentina;2005;15600;75,3;38900000;Americas
Argentina;2006;16700;75,4;39300000;Americas
Argentina;2007;18000;75,1;39700000;Americas
Argentina;2008;18600;75,5;40100000;Americas
Argentina;2009;17300;75,6;40500000;Americas
Argentina;2010;18900;75,8;40900000;Americas
Argentina;2011;19800;75,9;41300000;Americas
Argentina;2012;19400;76;41800000;Americas
Argentina;2013;19600;76,1;42200000;Americas
Argentina;2014;18900;76,4;42600000;Americas
Argentina;2015;19200;76,5;43100000;Americas
Argentina;2016;18600;76,5;43500000;Americas
Argentina;2017;18900;76,7;43900000;Americas
Argentina;2018;18300;76,8;44400000;Americas
Argentina;2019;17500;77;44800000;Americas
Argentina;2020;17100;77,1;45200000;Americas
