pais,	ano,	pib,	expecVida,	populacao,	continente
Afghanistan,	1920,	1490,	30.6,	10600000,	Asia
Afghanistan,	1921,	1520,	30.7,	10500000,	Asia
Afghanistan,	1922,	1550,	30.8,	10300000,	Asia
Afghanistan,	1923,	1570,	30.8,	9710000,	Asia
Afghanistan,	1924,	1600,	30.9,	9200000,	Asia
Afghanistan,	1925,	1630,	31,	8720000,	Asia
Afghanistan,	1926,	1650,	31,	8260000,	Asia
Afghanistan,	1927,	1680,	31.1,	7830000,	Asia
Afghanistan,	1928,	1710,	31.1,	7420000,	Asia
Afghanistan,	1929,	1740,	31.2,	7100000,	Asia
Afghanistan,	1930,	1770,	31.3,	6870000,	Asia
Afghanistan,	1931,	1790,	31.3,	6720000,	Asia
